GeneSymbol,GeneName,logFC,AveExpr,t.stat,p.value,adj.p.val,Regulation
DOCK6,dedicator of cytokinesis 6,0.0455092122575881,4.32468700551479,1.35648036986305,0.175136769776435,0.292694938530491,Up
MIR6774,microRNA 6774,-0.0263325303271051,-2.93662667823759,-0.399045908035587,0.689912358815949,0.797849835259091,Down
KIRREL3,kirre like nephrin family adhesion molecule 3,0.0537788174955179,-0.499285905065531,0.82011665003643,0.412271144951878,0.567925713812803,Up
STAM-DT,STAM divergent transcript,-0.0302957856734693,-1.15398043131186,-0.722855463605967,0.469873796505702,0.622624951015376,Down
MIR6781,microRNA 6781,0.0336096821926444,-3.95803863198049,0.553580768297809,0.579942743703484,0.716868357683503,Up
SNORD168,"small nucleolar RNA, C/D box 168",-0.0307818508080225,-2.5696604075295,-0.466457751972457,0.640951059099535,0.762618266244736,Down
MIR580,microRNA 580,-0.0488169392961084,-4.33148641957676,-0.678403735851287,0.497613343819115,0.648030774930465,Down
LOC100129291,chromosome X open reading frame 49 pseudogene,0.0503484474825431,-5.28914649857447,1.03696655202409,0.29990733568392,0.447740331749385,Up
LOC105375036,uncharacterized LOC105375036,0.0334440133039163,-3.73385972606977,0.467180528000735,0.64043401294269,0.762279478073616,Up
LOC105376436,uncharacterized LOC105376436,0.0470916058617171,-1.43720605463578,0.668681748970404,0.503794479997113,0.653800839349657,Up
RNF212,ring finger protein 212,-0.0392156743568131,-0.487714989762574,-0.827061650573522,0.408324816196694,0.564428505870575,Down
SLC14A1,solute carrier family 14 member 1 (Kidd blood group),-0.0444013930393533,1.16891954895537,-1.05952391645667,0.289520346619667,0.435451517765498,Down
POM121L8P,"POM121 transmembrane nucleoporin like 8, pseudogene",-0.0183568219313628,-2.28040400761492,-0.520518220474298,0.60277408325718,0.735182354035065,Down
MIR5087,microRNA 5087,-0.0295513560156318,-3.58985005256458,-0.409900373082481,0.681933625663939,0.791687721091758,Down
FAM163A,family with sequence similarity 163 member A,-0.0453365864540872,-1.33124638791224,-0.692930630662005,0.488453137082886,0.639767512416449,Down
ELOA2,elongin A2,0.0398452729258919,-1.50171936930856,0.657778797804674,0.510774418163026,0.660197396585717,Up
YWHAEP7,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7,-0.0274422664125636,-2.89936815332338,-0.400089225203712,0.68914393543103,0.797335868173016,Down
LOC107987381,uncharacterized LOC107987381,0.0309185592959647,-5.66856818054342,1.12491763923312,0.260791799511713,0.401710984531284,Up
