POSITION_X,POSITION_Y,POSITION_T
359.277,410.974,0
362.466,405.185,1
368.631,406.097,2
372.615,404.583,3
382.251,406.242,4
384.647,401.952,5
389.513,399.472,6
396.148,403.778,7
399.794,398.615,8
410.723,400.969,9
414.477,396.76,10
420.402,402.39,11
426.081,396.926,12
430.695,402.346,13
440.222,400.551,14
444.91,401.85,15
450.724,400.905,16
455.14,404.974,17
458.973,406.691,18
469.188,409.639,19
473.271,412.153,20
479.593,412.642,21
484.257,417.321,22
488.257,418.957,23
497.065,425.047,24
501.18,427.514,25
507.097,429.062,26
510.199,434.27,27
514.765,436.291,28
521.609,443.845,29
526.517,447.041,30
529.235,450.818,31
531.68,455.835,32
536.161,458.026,33
539.454,469.763,34
544.377,472.972,35
546.354,478.807,36
547.809,482.811,37
551.938,485.834,38
555.187,493.853,39
556.38,498.006,40
556.624,502.752,41
558.874,505.568,42
558.084,512.806,43
560.428,521.234,44
561.338,526.25,45
561.42,530.713,46
561.491,535.357,47
563.31,539.573,48
563.424,549.305,49
559.97,555.514,50
560.401,559.752,51
559.731,565.266,52
555.257,572.03,53
555.131,582.2,54
552.157,587.679,55
552.281,591.893,56
546.414,596.81,57
547.289,601.9,58
542.339,610.523,59
540.861,614.727,60
537.228,618.597,61
536.751,623.457,62
532.001,627.228,63
527.861,635.32,64
524.191,638.87,65
521.764,642.862,66
517.533,646.37,67
514.854,650.43,68
505.496,656.458,69
503.117,659.704,70
497.201,662.253,71
495.133,666.092,72
487.648,666.514,73
481.651,673.499,74
473.278,674.316,75
471.276,679.51,76
464.627,679.893,77
462.428,682.613,78
453.269,686.036,79
449.896,688.947,80
442.126,686.912,81
439.712,690.541,82
434.443,691.712,83
427.105,694.59,84
420.252,694.574,85
417.131,695.607,86
411.872,696.214,87
407.24,694.696,88
395.174,694.094,89
390.943,696.065,90
386.43,697.592,91
380.209,696.26,92
376.995,696.916,93
367.217,694.514,94
362.607,696.201,95
356.817,693.398,96
353.154,692.426,97
349.509,694.555,98
339.456,693.694,99
333.839,688.275,100
328.76,687.124,101
324.089,687.795,102
320.083,680.149,103
308.841,678.362,104
303.781,676.161,105
299.148,677.165,106
295.238,667.361,107
289.027,671.965,108
281.411,665.458,109
277.354,663.559,110
273.612,659.438,111
268.389,660.595,112
265.31,653.739,113
256.696,652.001,114
254.491,643.764,115
248.487,647.029,116
246.93,638.722,117
242.297,639.18,118
237.255,628.583,119
230.624,630.338,120
230.972,621.476,121
