POSITION_X,POSITION_Y,POSITION_T
1658.977,348.881,0
1649.133,348.207,1
1639.316,349.813,2
1615.723,353.95,3
1609.255,360.609,4
1597.861,368.845,5
1592.977,376.28,6
1587.207,385.529,7
1580.309,401.654,8
1576.449,409.617,9
1577.083,419.121,10
1575.037,425.331,11
1578.147,434.06,12
1583.59,453.521,13
1587.119,463.212,14
1589.793,471.345,15
1592.689,481.539,16
1599.583,488.762,17
1612.771,502.929,18
1624.502,506.801,19
1635.573,512.849,20
1646.137,513.285,21
1655.192,509.644,22
1676.55,503.259,23
1685.196,498.475,24
1697.07,494.025,25
1703.596,486.073,26
1714.442,480.361,27
1728.968,465.502,28
1733.979,454.411,29
1735.53,446.5,30
1738.961,433.951,31
1740.77,424.391,32
1736.317,403.881,33
1735.422,393.428,34
1732.721,382.646,35
1726.258,374.593,36
1716.154,366.274,37
1701.147,350.768,38
1691.743,344.498,39
1682.344,341.144,40
1670.686,338.236,41
1660.392,338.929,42
1635.933,339.497,43
1627.108,339.658,44
1612.045,343.231,45
1602.799,347.428,46
1594.785,353.297,47
1574.351,364.078,48
1567.063,369.924,49
1555.903,380.949,50
1550.682,389.674,51
1547.386,400.281,52
1539.214,419.032,53
1536.07,431.008,54
1538.429,444.15,55
1538.052,455.863,56
1537.878,467.182,57
1546.816,485.445,58
1553.84,496.094,59
1559.91,505.671,60
1566.264,514.347,61
1573.814,521.373,62
1588.965,529.112,63
1599.901,533.483,64
1610.452,533.698,65
1621.109,533.021,66
1633.139,532.901,67
1653.592,530.026,68
1666.411,522.83,69
1674.518,515.351,70
1679.126,507.374,71
1687.279,496.867,72
1701.247,481.103,73
1703.177,471.716,74
1705.288,459.346,75
1709.323,448.221,76
1710.151,438.898,77
1705.853,417.958,78
1700.046,410.538,79
1693.448,401.836,80
1684.175,392.409,81
1678.262,385.225,82
1659.797,373.22,83
1649.85,367.757,84
1639.704,363.979,85
1628.802,363.705,86
1620.293,365.329,87
1596.904,368.314,88
1588.46,369.974,89
1579.724,370.722,90
1569.316,373.043,91
1560.434,379.48,92
1547.624,399.484,93
1541.091,407.967,94
1535.853,419.54,95
1535.507,430.237,96
1532.555,443.435,97
1538.177,424.999,98
1532.755,476.727,99
1531.864,487.224,100
1535.156,495.296,101
1538.126,506.022,102
1548.139,521.735,103
1551.916,530.513,104
1557.014,535.056,105
1564.748,539.305,106
1572.617,544.581,107
1586.561,553.409,108
1596.615,551.851,109
1606.531,556.201,110
1642.713,557.076,113
1650.375,554.817,114
1659.492,552.497,115
1666.65,549.078,116
1675.015,547.317,117
1694.182,539.496,118
1701.277,533.523,119
1707.026,526.279,120
1713.264,522.683,121
1720.006,513.983,122
1729.087,499.291,123
1735.387,489.072,124
1740.131,481.976,125
1742.184,474.27,126
1743.031,465.642,127
1742.144,447.994,128
1740.79,437.413,129
1739.823,427.005,130
1737.194,419.1,131
1731.949,410.85,132
1720.013,396.757,133
1713.566,393.253,134
1704.389,389.863,135
1694.068,387.266,136
1686.418,384.823,137
1668.323,381.384,138
1657.049,382.066,139
1650.582,385.131,140
1642.734,389.952,141
1632.968,393.771,142
1615.683,402.134,143
1610.042,408.664,144
1606.034,416.261,145
1602.892,423.956,146
1599.022,433.237,147
1594.218,453.742,148
1592.45,461.355,149
1591.418,470.536,150
1592.608,479.616,151
1594.154,486.245,152
1603.968,500.07,153
1611.378,507.641,154
1617.159,514.323,155
1623.355,519.313,156
1632.861,519.564,157
1649.75,519.563,158
1661.899,516.264,159
1668.465,513.819,160
1677.217,507.086,161
1683.361,502.39,162
1695.89,492.559,163
1702.089,486.126,164
1709.281,478.071,165
1714.11,471.973,166
1717.157,462.813,167
1726.343,447.67,168
1729.061,440.131,169
1731.453,430.865,170
1735.348,421.707,171
1736.945,415.403,172
1734.495,396.347,173
1736.957,386.192,174
1737.797,377.751,175
1734.131,368.015,176
1727.546,359.262,177
1718.797,342.384,178
1710.363,334.511,179
1701.079,327.386,180
1693.703,322.511,181
1683.334,320.022,182
1670.61,310.75,183
1664.038,308.016,184
1656.38,303.288,185
1648.056,300.134,186
1637.695,301.516,187
1620.698,297.606,188
1614.285,299.519,189
1606.689,302.483,190
1598.738,303.708,191
1589.455,305.625,192
1574.137,316.26,193
1567.857,320.096,194
1559.407,327.375,195
1556.307,333.659,196
1553.238,341.703,197
1545.983,356.658,198
1546.017,366.074,199
1545.087,374.282,200
1544.953,382.692,201
1544.257,391.326,202
1550.678,409.174,203
1552.956,416.435,204
1553.577,422.304,205
1556.134,428.206,206
1557.177,429.924,207
1560.046,432.458,208
1559.591,431.79,209
1559.287,431.645,210
1560.057,431.799,211
1560.057,430.947,212
1560.063,431.185,213
1559.792,430.891,214
1560.035,430.687,215
1561.106,432.015,216
1560.344,431.703,217
1559.843,431.155,218
1561.091,432.392,219
1560.16,431.376,220
1561.096,431.685,221
1561.433,432.187,222
1561.367,432.401,223
1561.178,431.873,224
1561.209,431.065,225
1561.257,431.296,226
1560.813,430.554,227
1561.467,431.857,228
1561.368,431.342,229
1561.53,431.336,230
1561.808,431.345,231
1562.288,432.342,232
1562.459,434.292,233
1561.537,432.657,234
1562.106,433.725,235
1561.957,433.922,236
1562.285,433.895,237
1562.74,435.391,238
1563.265,435.92,239
1564.396,437.295,240
1564.499,436.72,241
1564.267,437.155,242
1564.813,438.008,243
1565.089,438.178,244
1565.067,439.196,245
1566.507,440.365,246
1565.329,440.088,247
1565.667,440.221,248
1565.691,439.946,249
1565.44,439.59,250
1565.518,440.419,251
1565.426,440.081,252
1566.009,441.083,253
1565.789,440.921,254
1565.887,441.806,255
1566.669,442.706,256
1566.309,442.516,257
1566.595,443.682,258
1566.661,444.074,259
1567.302,445.027,260
1567.437,445.847,261
1567.689,445.781,262
1567.752,445.505,263
1568.326,446.065,264
1568.218,445.898,265
1568.187,446.227,266
1568.508,446.368,267
1568.322,445.617,268
1568.739,446.099,269
1568.511,446.376,270
1569.127,446.575,271
1568.087,445.755,272
1567.941,445.548,273
1567.916,444.578,274
1568.144,445.147,275
1568.25,445.558,276
1568.363,445.672,277
1568.655,445.465,278
1568.773,445.446,279
1570.07,446.921,280
1569.898,446.646,281
1570.431,446.783,282
1570.535,446.496,283
1570.657,446.933,284
1570.576,446.694,285
1570.371,446.822,286
1570.402,447.593,287
1570.62,447.856,288
1570.933,449.076,289
1570.712,449.534,290
1570.68,450.157,291
1570.692,451.283,292
1570.34,451.755,293
1570.667,452.017,294
1570.744,452.458,295
1571.005,452.38,296
1571.234,453.044,297
1572.167,454.778,298
1573.063,455.489,299
1572.53,456.189,300
1572.333,457.381,301
1572.699,457.867,302
1572.977,459.574,303
1573.006,459.576,304
1573.175,461.564,305
1572.919,461.944,306
1573.617,466.332,307
1573.639,471.769,308
1573.626,472.747,309
1573.448,473.303,310
1573.964,474.28,311
1574.249,474.455,312
1575.155,475.594,313
1574.837,476.32,314
1574.931,476.912,315
1574.713,477.917,316
1574.442,479.669,317
1574.837,479.723,318
1574.692,479.441,319
1574.743,478.776,320
1574.837,479.01,321
1575.117,480.777,322
1575.318,480.59,323
1575.739,480.5,324
1575.96,479.533,325
1575.819,480.461,326
1575.555,480.312,327
1575.273,481.795,328
1574.982,480.634,329
1574.798,481.56,330
1574.991,481.623,331
1575.59,480.304,332
1575.134,481.353,333
1575.439,481.553,334
1575.787,481.246,335
1575.426,481.047,336
1575.396,481.885,337
1575.529,480.062,338
1575.357,481.172,339
1575.61,482.043,340
1575.498,481.958,341
1575.517,480.818,342
1575.638,481.871,343
1575.338,482.732,344
1575.915,482.577,345
1576.086,481.618,346
1576.045,482.091,347
1575.683,481.01,348
1575.39,481.065,349
1575.754,482.493,350
1575.647,482.813,351
1574.897,481.292,352
1574.136,482.679,353
1574.382,483.354,354
1574.183,482.672,355
1574.167,483.322,356
1574.218,484.386,357
1573.734,482.969,358
1574.465,484.164,359
1574.122,483.196,360
1574.346,483.477,361
1573.991,483.247,362
1574.443,483.58,363
1574.761,482.775,364
1574.953,483.751,365
1575.32,484.088,366
1574.599,483.59,367
1575.201,482.597,368
1575.409,482.164,369
1575.151,483.523,370
1575.52,483.626,371
1576.373,483.898,372
1575.675,484.351,373
1575.507,483.424,374
1575.425,484.135,375
1576.065,484.791,376
1576.12,483.943,377
1576.849,484.26,378
1577.381,485.466,379
1576.682,485.961,380
1577.7,487.019,381
1578.224,488.497,382
1578.533,490.273,383
1579.133,491.476,384
1579.005,491.997,385
1579.797,492.821,386
1579.28,493.814,387
