"POSITION_X	",POSITION_Y,POSITION_T
1334.259,641.243,338
1332.713,637.697,339
1332.314,637.635,340
1318.742,635.487,341
1320.337,636.249,342
1322.524,638.21,343
1323.144,638.907,344
1325.464,642.149,345
1321.241,643.711,346
1319.702,642.289,347
1320.506,641.837,348
1320.728,643.128,349
1316.747,643.523,350
1320.964,646.016,351
1323.716,659.441,354
1322.286,659.492,355
1316.12,654.925,356
1316.43,656.221,357
1320.278,658.682,358
1321.202,655.43,359
1322.875,657.078,360
1322.505,659.52,361
1319.218,661.846,362
1320.93,660.519,363
1317.877,660.853,364
1317.106,660.281,365
1323.005,654.736,366
1322.292,653.577,367
1321.129,653.43,368
1320.866,652.391,369
1320.188,653.149,370
1319.111,651.804,371
1318.596,650.887,372
1319.286,649.429,373
1318.762,647.525,374
1319.324,647.407,375
1319.828,644.533,376
1320.008,641.051,377
1315.649,643.386,378
1317.276,641.589,379
1318.115,641.558,380
1316.22,639.657,381
1315.122,638.9,382
1314.276,639.617,383
1318.409,639.303,384
1318.621,635.95,385
1305.973,636.201,386
1309.388,635.13,387
1313.934,634.663,388
1316.06,634.921,389
1316.608,634.037,390
1313.785,640.673,391
1313.142,640.449,392
1314.303,639.601,393
1316.279,638.915,394
1324.863,635.63,395
1317.386,639.609,396
1317.728,640.763,397
1324.279,636.49,398
1321.285,639.423,399
1321.41,639.295,400
1321.925,643.565,401
1324.232,640.663,402
1325.032,640.634,403
1338.852,636.813,404
1328.632,641.956,405
1326.88,640.612,406
1327.76,635.831,407
1335.931,634.739,408
1337.625,639.377,409
1337.075,637.4,410
1332.524,649.802,416
1334.292,651.024,417
1325.195,650.338,418
1326.116,649.936,419
1326.102,650.005,420
1325.901,650.975,421
1335.955,654.006,422
1336.107,655.825,423
1334.08,655.803,424
1330.02,654.058,425
1328.118,654.807,426
1333.645,658.467,427
1334.074,657.696,428
1334.8,658.153,429
1337.5,660.168,430
1338.103,665.382,431
1338.092,668.285,432
1337.664,668.224,433
1338.094,670.996,434
1336.299,671.685,435
1336.125,670.13,436
1338.739,669.465,437
1338.806,670.722,438
1338.191,671.52,439
1337.529,673.47,440
1336.683,668.865,441
1336.557,662.216,442
1323.803,659.353,449
1321.822,661.162,450
1317.993,654.774,451
1317.171,654.388,452
1315.359,652.608,453
1314.7,653.814,454
1307.766,651.752,457
1306.595,652.868,458
1303.477,655.633,459
1286.41,651.913,465
1294.786,645.684,466
1295.315,641.094,467
1291.797,638.303,468
1282.443,649.532,469
1290.808,635.561,470
1282.624,628.293,474
1271.008,638.643,475
1256.142,609.906,486
1255.433,609.25,487
1257.892,609.044,488
1257.58,609.484,489
1257.543,608.559,490
1261.134,602.46,491
1261.382,600.533,492
1259.612,601.708,493
1259.588,599.425,494
1242.202,579.893,502
1243.937,577.466,503
1245.319,575.902,504
1246.556,575.015,505
1254.72,577.431,506
1248.662,583.934,509
1259.683,580.332,510
1261.973,580.076,511
1266.273,582.229,513
1269.111,583.86,514
1274.525,588.709,516
1277.619,590.203,517
1281.529,591.702,518
1281.258,592.816,519
1281.014,594.786,520
1285.026,597.151,521
1287.865,598.45,522
1286.465,598.226,523
1284.769,599.971,524
1282.938,596.111,525
1284.492,595.494,526
1284.988,595.827,527
1285.867,596.672,528
1284.718,596.747,529
1283.843,596.516,530
1283.076,597.39,531
1280.11,591.62,532
1276.638,591.276,533
1275.535,605.779,534
1273.268,592.479,535
1274.738,600.117,536
1274.032,599.277,537
1273.511,599.922,538
