POSITION_X,POSITION_Y,POSITION_T
1256.731,531.807,0
1260.049,523.328,1
1264.6,492.596,2
1264.153,493.365,3
1261.768,489.917,4
1237.402,524.026,5
1231.972,527.285,6
1228.272,529.792,7
1229.097,535.384,8
1230.904,541.199,9
1236.948,535.913,10
1246.043,525.32,11
1247.733,524.071,12
1226.902,512.785,13
1231.911,515.662,14
1224.528,540.937,15
1231.301,536.545,16
1249.438,533.423,17
1247.118,535.282,18
1231.563,518.877,19
1222.485,529.423,20
1225.774,544.821,21
1230.813,548.939,22
1234.344,534.389,23
1220.866,532.343,24
1232.616,551.227,25
1213.59,508.127,26
1225.127,517.337,27
1236.322,491.063,28
1229.194,509.806,29
1241.438,503.589,30
1238.45,496.981,31
1229.969,487.637,32
1226.115,500.525,33
1247.581,493.698,34
1252.647,486.658,35
1247.572,484.634,36
1249.414,473.228,37
1247.214,473.423,38
1244.664,474.24,39
1206.48,495.509,40
1230.596,498.991,41
1240.884,496.248,42
1249.314,477.315,43
1225.339,483.539,44
1213.508,490.913,45
1223.431,492.515,46
1242.063,492.866,47
1250.328,479.299,48
1250.247,473.011,49
1247.185,468.089,50
1249.528,474.267,51
1246.17,476.117,52
1242.434,480.303,53
1239.255,482.528,54
1233.349,499.796,55
1235.171,500.023,56
1245.712,490.426,57
1246.008,483.205,58
1251.851,477.689,59
1245.785,473.638,60
1249.635,473.788,61
1246.915,473.83,62
1242.606,474.605,63
1237.109,476.757,64
1241.74,479.421,65
1242.084,479.216,66
1237.988,474.064,67
1236.901,469.033,68
1234.929,469.814,69
1216.981,467.242,70
1209.824,481.448,71
1234.166,480.822,72
1231.981,480.793,73
1223.535,471.333,74
1222.618,478.022,75
1223.319,476.916,76
1223.659,478.028,77
1216.683,467.577,78
1245.164,474.412,79
1196.772,476.674,80
1200.051,492.306,81
1203.839,508.307,82
1208.183,510.549,83
1210.441,510.965,84
1212.68,509.515,85
1210.758,504.543,86
1193.464,508.476,87
1190.061,513.503,88
1213.42,514.511,89
1218.119,510.989,90
1211.398,499.088,91
1194.658,492.866,92
1185.63,495.184,93
1188.193,494.97,94
1209.254,510.3,95
1218.095,508.309,96
1226.212,501.366,97
1225.197,500.57,98
1214.243,493.069,99
1201.043,493.678,100
1199.375,514.066,101
1199.875,517.389,102
1217.333,503.983,103
1217.161,481.77,104
1211.696,483.152,105
1196.946,499.319,106
1192.169,496.697,107
1202.675,491.769,108
1196.608,487.158,109
1179.533,502.885,110
1175.589,506.379,111
1186.946,506.11,112
1208.249,493.615,113
1205.209,489.358,114
1175.189,493.512,115
1182.076,496.338,116
1199.641,506.625,117
1196.771,500.621,118
1207.768,480.672,119
1204.588,483.086,120
1184.464,486.917,121
1188.6,482.398,122
1193.208,501.474,123
1190.317,497.418,124
1208.117,490.658,125
1206.521,467.332,126
1201.965,448.65,127
1198.048,444.801,128
1196.757,471.178,129
1207.688,483.076,130
1215.859,483.523,131
1218.765,480.806,132
1209.108,456.783,133
1206.226,447.939,134
1201.869,443.552,135
1198.167,468.929,136
1206.169,479.843,137
1215.195,488.614,138
1223.76,486.959,139
1242.222,476.516,140
1196.916,466.494,141
1194.583,469.82,142
1185.716,492.961,143
1198.049,496.829,144
1209.419,500.767,145
1230.009,494.805,146
1238.779,481.493,147
1251.964,474.396,148
1250.436,473.207,149
1247.97,472.075,150
1246.29,475.252,151
1243.924,476.547,152
1234.67,490.787,153
1243.592,492.029,154
1241.906,487.006,155
1249.966,484.007,156
1248.17,477.852,157
1250.731,479.317,158
1229.462,508.16,159
1233.166,510.762,160
1238.702,494.61,161
1249.114,478.329,162
1250.973,478.982,163
1249.433,476.845,164
1225.903,503.769,165
1253.353,492.674,166
1251.498,493.692,167
1252.35,480.205,168
1249.487,475.411,169
1250.324,478.301,170
1230.666,496.523,171
1228.519,495.057,172
1238.272,500.388,173
1250.182,495.978,174
1248.445,481.243,175
1244.719,476.014,176
1250.342,474.431,177
1248.6,476.553,178
1249.409,478.3,179
1236.384,488.54,180
1251.849,484.628,181
1252.178,480,182
1253.862,477.862,183
1247.153,471.859,184
1235.865,468.46,185
1249.281,476.635,186
1249.332,475.87,187
1240.709,486.174,188
1246.204,485.406,189
1256.126,470.305,190
1255.09,468.475,191
1248.271,463.219,192
1229.904,451.545,193
1222.158,452.465,194
1209.771,453.63,195
1207.152,467.56,196
1207.717,489.053,197
1226.373,499.527,198
1236.633,491.923,199
1230.564,491.771,200
1245.367,474.473,201
1202.803,497.581,202
1234.9,489.559,203
1246.869,477.619,204
1212.118,475.354,205
1213.722,491.648,206
1214.85,495.179,207
1219.486,491.564,208
1211.492,482.89,209
1241.773,477.35,210
1210.688,492.589,211
1213.812,505.667,212
1210.823,506.405,213
1227.739,492.884,214
1232.308,480.117,215
1227.186,477.108,216
1219.738,489.193,217
1223.63,485.618,218
1246.92,476.269,219
1249.398,473.544,220
1252.438,471.682,221
1204.116,472.228,222
1224.775,489.258,223
1216.287,493.08,224
1209.034,491.59,225
1205.049,509.875,226
1207.031,514.543,227
1230.284,510.305,228
1211.425,502.996,229
1206.844,505.012,230
1200.599,504.039,231
1191.615,512.019,232
1180.839,529.743,233
1185.001,538.925,234
1187.017,551.345,235
1195.072,559.646,236
1218.812,547.099,237
1201.395,538.512,238
1204.198,545.095,239
1199.278,555.575,240
1204.238,562.595,241
1209.567,545.665,242
1209.441,550.213,243
1197.845,541.772,244
1192.066,541.239,245
1182.237,544.171,246
1189.941,561.826,247
1209.395,574.255,248
1232.871,581.555,249
1236.543,574.129,250
1232.078,566.379,251
1231.491,561.198,252
1222.551,562.007,253
1221.726,577.932,254
1223.866,588.166,255
1229.396,570.325,256
1226.157,563.805,257
1200.077,576.962,258
1213.92,590.992,259
1223.149,585.414,260
1250.126,577.213,261
1250.533,565.384,262
1235.578,539.444,263
1226.942,531.137,264
1213.018,528.27,265
1192.063,536.143,266
1204.016,573.994,267
1222.783,568.209,268
1216.418,563.214,269
1212.738,556.676,270
1213.438,558.411,271
1197.267,581.661,272
1198.268,587.177,273
1207.049,574.051,274
1224.897,558.451,275
1223.079,535.749,276
1183.974,522.614,277
1174.088,526.081,278
1163.752,530.449,279
1146.481,551.24,280
1169.572,559.024,281
1175.585,562.005,282
1172.699,558.423,283
1168.34,530.397,284
1148.556,538.336,285
1150.657,556.613,286
1155.081,566.05,287
1161.462,567.102,288
1165.251,560.389,289
1168.424,542.213,290
1158.713,529.375,291
1146.886,525.643,292
1138.907,524.002,293
1132.718,536.769,294
1137.62,543.134,295
1153.721,542.411,296
1158.801,539.885,297
1166.74,526.249,298
1169.14,512.37,299
1164.704,512.327,300
1164.949,511.457,301
1147.385,525.456,302
1146.969,533.906,303
1166.052,540.567,304
1163.595,535.487,305
1165.599,520.02,306
1167.462,500.07,307
1160.823,491.576,308
1139.539,485.914,309
1145.883,487.123,310
1153.529,492.843,311
1151.324,495.196,312
1156.567,484.634,313
1144.746,470.585,314
1134.369,483.108,315
1138.247,476.242,316
1160.45,485.017,317
1159.031,487.378,318
1160.783,469.982,319
1145.349,466.51,320
1128.888,480.451,321
1130.241,488.366,322
1134.588,484.706,323
1141.986,482.205,324
1133.112,470.484,325
1121.944,482.72,326
1128.154,484.191,327
1149.79,495.188,328
1149.863,488.369,329
1119.407,469.356,330
1114.32,491.025,331
1115.155,497.872,332
1119.486,499.29,333
1116.07,496.414,334
1117.393,484.122,335
1100.338,480.918,336
1103.875,504.476,337
1124.717,487.977,338
1124.21,483.11,339
1098.99,477.362,340
1093.703,498.756,341
1096.593,508.677,342
1102.871,518.715,343
1117.266,516.76,344
1121.143,505.696,345
1117.128,505.746,346
1109.616,500.534,347
1084.713,495.926,348
1072.339,502.782,349
1078.434,509.196,350
1082.904,522.078,351
1089.337,525.049,352
1112.408,526.602,353
1125.04,522.923,354
1131.645,503.47,355
1128.384,493.428,356
1126.514,482.735,357
1119.965,478.133,358
1111.974,474.605,359
1104.726,476.434,360
1105.747,477.711,361
1104.034,491.852,362
1108.41,487.357,363
1121.482,484.759,364
1121.788,485.955,365
1108.538,467.804,366
1103.347,468.913,367
1102.751,484.371,368
1114.046,491.846,369
1121.87,482.423,370
1115.77,472.221,371
1110.291,465.263,372
1094.56,460.405,373
1089.619,458.996,374
1090.486,473.114,375
1097.445,481.783,376
1109.73,483.998,377
1114.031,471.038,378
1101.81,465.003,379
1097.798,461.384,380
1093.39,460.953,381
1088.236,458.187,382
1083.562,458.85,383
1075.856,463.004,384
1070.774,468.26,385
1072.471,473.942,386
1086.56,468.316,387
1096.098,459.806,388
1093.984,456.281,389
1088.286,440.765,390
1078.172,459.552,391
1079.655,463.42,392
1083.511,453.899,393
1094.659,458.446,394
1086.649,449.524,395
1078.291,439.564,396
1067.561,454.399,397
1061.897,460.62,398
1075.726,473.797,399
1078.047,470.044,400
1083.488,465.382,401
1083.779,455.734,402
1086.206,459.31,403
1078.278,459.228,404
1070.885,461.873,405
1064.738,463.837,406
1079.531,472.646,407
1075.694,472.669,408
1085.327,470.828,409
1097.745,454.97,410
1093.703,450.571,411
1093.042,453.571,412
1077.015,447.053,413
1083.484,461.974,414
1082.492,462.394,415
1105.269,470.934,416
1101.877,468.224,417
1097.986,446.755,418
1093.146,445.264,419
1088.198,446.261,420
1079.36,444.689,421
1071.215,451.126,422
1068.069,452.962,423
1067.514,455.488,424
1065.27,459.68,425
1087.07,450.274,426
1083.132,446.657,427
1075.59,441.644,428
1064.576,432.108,429
1049.635,446.251,430
1057.772,450.084,431
1062.866,468.147,432
