POSITION_X,POSITION_Y,POSITION_T
899.412,371,0
901.718,370.608,1
905.28,377.348,2
903.469,380.498,3
882.84,387.387,4
879.197,383.955,5
872.258,382.438,6
866.5,380.489,7
867.86,377.113,8
856.373,378.39,9
853.37,378.748,10
852.677,377.778,11
857.632,370.3,12
859.217,367.529,13
860.797,363.165,14
862.098,361.975,15
860.166,360.979,16
866.934,358.364,17
873.869,356.23,18
884.822,358.348,19
891.655,358.833,20
896.797,360.598,21
901.222,359.929,22
905.444,359.527,23
913.372,358.379,24
913.527,357.779,25
912.523,357.606,26
897.626,363.574,27
895.971,364.203,28
892.341,365.358,29
890.957,368.381,30
891.566,369.325,31
893.181,368.477,32
889.698,367.427,33
879.958,375.809,34
876.945,379.642,35
872.655,379.216,36
865.931,379.575,37
855.723,388.23,38
859.883,385.163,39
857.432,374.138,40
863.264,379.797,41
864.501,386.138,42
870.118,396.519,43
866.273,405.964,44
865.027,411.754,45
863.54,412.806,46
867.866,411.549,47
864.46,407.002,48
860.68,401.813,49
862.547,391.139,50
863.072,392.717,51
866.37,390.668,52
859.356,393.668,53
856.008,386.298,54
869.305,381.258,55
866.185,380.418,56
863.5,379.1,57
853.327,374.725,58
852.822,365.532,59
848.937,362.74,60
846.633,360.927,61
847.736,358.185,62
860.814,356.732,63
851.418,356.299,64
850.68,357.248,65
848.667,359.219,66
847.101,360.671,67
846.754,365.538,68
840.678,389.804,69
843.651,403.504,70
843.086,396.259,71
844.357,399.005,72
844.597,402.364,73
841.166,406.973,74
839.678,409.409,75
839.225,411.554,76
840.15,408.691,77
859.553,407.633,78
857.355,405.779,79
860.36,403.003,80
860.874,402.437,81
860.977,402.552,82
860.769,397.931,83
857.323,394.38,84
850.576,389.346,85
843.166,387.473,86
837.897,385.213,87
834.483,384.272,88
825.004,381.577,89
820.835,379.471,90
818.833,379.168,91
821.589,380.633,92
822.479,380.872,93
821.929,380.039,94
823.651,382.346,95
819.371,378.588,96
819.874,381.331,97
820.558,383.763,98
830.691,398.931,99
829.736,400.42,100
833.038,401.825,101
839.021,401.946,102
843.517,393.452,103
842.791,387.43,104
838.638,386.008,105
833.561,385.872,106
829.441,390.738,107
827.923,397.178,108
816.167,404.44,109
814.554,406.8,110
825.858,409.321,111
828.358,408.928,112
826.541,408.958,113
829.419,405.881,114
819.361,387.307,115
819.727,385.55,116
816.616,390.271,117
827.482,368.387,118
821.683,358.756,119
821.86,368.281,120
819.01,363.662,121
818.041,362.021,122
817.881,356.937,123
815.577,356.551,124
813.515,359.969,125
819.035,364.054,126
798.038,361.764,127
797.473,361.885,128
796.816,362.26,129
797.584,363.886,130
797.351,368.193,131
796.167,369.115,132
795.188,368.644,133
794.131,370.85,134
796.61,375.389,135
797.222,378.274,136
800.911,383.089,137
803.61,384.49,138
806.849,385.337,139
802.879,384.758,140
800.906,384.021,141
803.967,381.652,142
808.642,381.681,143
803.167,362.875,144
782.836,371.446,145
781.764,377.213,146
776.048,380.997,147
764.67,381.257,148
752.01,384.342,149
748.945,384.786,150
742.449,385.126,151
738.138,386.203,152
735.104,385.257,153
720.748,391.787,154
718.978,391.438,155
722.31,393.206,156
722.181,392.14,157
730.475,391.362,158
734.188,386.612,159
733.478,387.452,160
732.794,387.685,161
737.224,389.191,162
742.954,388.834,163
749.713,390.664,164
753.193,390.981,165
752.115,388.953,166
748.723,391.396,167
749.656,391.348,168
743.016,393.935,169
746.101,389.984,170
722.228,401.783,171
717.344,401.908,172
706.558,403.363,173
704.549,397.783,174
700.13,401.241,175
698.2,400.02,176
697.839,397.017,177
698.5,398.436,178
702.633,392.526,179
705.815,391.725,180
709.235,388.867,181
710.634,385.196,182
701.869,379.133,183
704.331,376.119,184
705.019,381.555,185
707.801,388.273,186
706.854,394.207,187
707.769,397.774,188
705.52,405.617,189
708.946,409.582,190
714.773,413.648,191
701.976,417.302,192
700.797,425.551,193
708.535,410.684,194
706.937,404.468,195
705.921,400.977,196
703.924,402.511,197
702.875,400.095,198
701.227,395.407,199
698.243,386.962,200
697.575,385.365,201
698.758,385.855,202
699.642,386.77,203
700.709,388.709,204
702.015,389.425,205
700.103,390.663,206
694.557,391.709,207
692.568,391,208
692.941,389.302,209
694.57,387.897,210
695.894,382.941,211
696.842,383.654,212
696.097,381.932,213
697.19,389.95,214
694.834,395.126,215
693.877,398.791,216
693.698,402.5,217
698.252,413.542,218
695.197,419.929,219
694.911,424.556,220
693.705,425.661,221
693.365,426.797,222
687.636,423.953,223
678.08,417.301,224
679.893,413.2,225
680.983,408.43,226
679.442,405.646,227
668.501,418.157,228
665.259,409.738,229
668.963,421.085,230
672.358,421.204,231
682.067,421.921,232
692.408,415.533,233
696.777,419.326,234
697.712,418.953,235
698.659,395.604,236
700.659,395.747,237
699.366,395.201,238
697.762,403.112,239
699.476,402.667,240
697.025,401.204,241
695.396,398.799,242
691.995,401.451,243
680.822,408.06,244
673.594,405.802,245
667.455,405.942,246
664.561,405.969,247
662.256,403.123,248
645.45,404.629,249
644.69,404.504,250
649.434,398.437,251
651.521,396.956,252
653.602,398.011,253
657.253,397.633,254
660.783,396.927,255
661.452,399.715,256
660.994,402.085,257
658.425,405.497,258
657.558,408.236,259
654.668,408.959,260
653.512,406.411,261
652.255,407.127,262
667.755,398.795,263
651.706,405.322,263
650.265,373.905,264
652.077,365.856,265
653.314,361.352,266
653.459,361.633,267
655.292,359.621,268
655.323,358.646,269
656.208,358.128,270
658.726,360.118,271
662.446,366.216,272
661.652,369.515,273
667.485,372.555,274
672.206,369.087,275
673.673,368.075,276
672.876,368.704,277
672.891,369.659,278
668.596,369.322,279
659.414,373.866,280
653.922,370.788,281
647.864,375.517,282
643.496,383.071,283
637.884,374.942,284
639.615,373.767,285
637.954,374.467,286
631.541,375.858,287
633.183,375.566,288
631.428,372.51,289
629.029,370.123,290
629.512,368.961,291
626.192,364.883,292
635.627,360.067,293
643.242,354.26,294
644.522,350.875,295
652.528,353.65,296
656.134,353.463,297
664.152,347.449,298
669.176,343.145,299
671.649,342.457,300
671.548,339.461,301
674.63,339.453,302
671.31,349.758,303
671.2,353.435,304
669.402,354.398,305
666.971,355.372,306
661.178,358.099,307
653.652,360.326,308
646.043,357.751,309
642.355,356.708,310
639.417,356.544,311
636.654,357.401,312
629.394,369.697,313
623,369,314
621.914,356.399,315
620.504,358.228,316
615.903,357.147,317
613.809,356.966,318
607.354,368.27,319
606.12,363.597,320
605.797,360.939,321
605.707,354.937,322
607.029,352.891,323
615.362,351.955,324
615.794,349.593,325
615.649,347.344,326
618.141,348.263,327
624.867,354.535,328
628.439,363.676,329
630.744,366.18,330
630.1,372.703,331
633.145,378.426,332
636.548,380.315,333
633.92,381.469,334
631.687,382.233,335
626.776,371.871,336
624.513,368.181,337
623.161,368.302,338
600.69,365.158,339
599.911,357.069,340
588.65,356.611,341
580.017,348.277,342
580.468,347.215,343
578.886,351.314,344
585.135,360.874,345
589.973,362.304,346
595.309,364.455,347
594.953,365.279,348
587.812,358.525,349
583.17,362.643,350
578.783,363.873,351
573.788,365.863,352
568.303,366.488,353
569.532,365.014,354
567.227,365.864,355
567.352,363.51,356
575.336,361.294,357
576.29,360.78,358
576.387,362.227,359
583.24,358.827,360
588.126,357.113,361
589.082,353.831,362
592.045,352.378,363
597.867,348.601,364
600.477,349.619,365
598.074,345.238,366
595.802,347.811,367
593.415,346.884,368
590.484,345.582,369
588.585,347.622,370
573.022,354.407,371
577.198,358.025,372
575.658,361.786,373
570.166,369.982,374
568.235,373.392,375
567.644,376.654,376
567.514,379.376,377
566.36,382.756,378
563.047,388.73,379
562.821,390.835,380
561.554,392.34,381
560.829,395.125,382
547.718,397.219,383
559.471,404.073,384
562.398,405.548,385
562.379,403.504,386
564.301,400.226,387
566.023,398.666,388
573.151,391.991,389
574.438,391.937,390
574.831,390.187,391
581.813,383.96,392
584.262,377.014,393
589.469,361.788,394
589.409,358.436,395
591.868,365.202,396
589.236,369.062,397
587.428,372.313,398
578.028,361.548,399
576.001,363.95,400
563.086,358.378,401
556.957,367.351,402
552.223,370.437,403
549.716,383.199,404
549.867,392.159,405
550.084,398.29,406
551.098,400.201,407
552.796,396.217,408
561.018,388.267,409
562.008,388.459,410
563.587,387.234,411
561.724,384.733,412
556.73,370.71,413
547.203,365.105,414
540.035,365.926,415
539.823,369.826,416
539.722,369.586,417
542.872,370.067,418
539.164,381.261,419
545.566,384.251,420
550.752,386.546,421
564.338,390.312,422
568.109,393.497,423
578.103,398.382,424
582.014,403.231,425
583.972,404.606,426
582.616,406.832,427
581.697,404.929,428
574.21,392.376,429
573.387,387.264,430
575.903,380,431
575.864,377.648,432
577.245,376.942,433
566.906,378.104,434
564.98,371.873,435
556.481,365.19,436
553.782,363.123,437
543.906,365.548,438
533.276,367.825,439
534.391,375.3,440
536.497,376.715,441
536.758,379.262,442
541.786,377.702,443
544.953,381.367,444
539.033,375.815,445
541.078,371.474,446
540.089,367.423,447
540.84,361.088,448
536.823,352.918,449
534.37,348.991,450
535.951,345.228,451
536.317,346.502,452
539.663,346.718,453
539.343,345.161,454
536.501,349.231,455
536.281,351.277,456
537.787,350.898,457
535.667,354.657,458
530.166,367.046,459
524.826,379.812,460
518.844,384.248,461
516.194,385.819,462
512.368,390.238,463
506.097,398.848,464
503.638,401.567,465
503.794,400.417,466
505.742,402.042,467
505.984,394.446,468
510.924,387.853,469
508.206,383.617,470
509.196,380.177,471
523.551,373.395,472
517.319,371.39,473
510.71,371.467,474
511.244,376.405,475
513.024,376.482,476
514.029,373.9,477
517.693,370.001,478
523.846,367.839,479
523.323,367.651,480
523.586,366.998,481
523.02,367.108,482
520.22,364.711,483
514.063,367.303,484
503.591,366.151,485
488.073,371.649,486
482.676,374.303,487
478.761,379,488
479.878,387.153,489
478.7,390.678,490
473.173,391.478,491
471.445,391.702,492
470.069,393.611,493
462.092,397.757,494
460.183,397.983,495
464.532,398.012,496
464.077,397.839,497
469.055,392.29,498
478.673,393.341,499
485.295,400.376,500
485.838,403.724,501
485.45,398.837,502
482.048,389.653,503
477.146,381.386,504
476.671,373.562,505
476.468,372.745,506
477.532,368.94,507
476.094,361.38,508
475.866,352.141,509
475.368,351.412,510
472.558,353.241,511
466.616,360.534,512
462.404,358.59,513
458.14,353.005,514
459.456,352.972,515
455.509,353.1,516
449.312,375.281,518
460.773,375.05,519
466.63,379.65,520
466.049,387.687,521
468.01,389.234,522
474.246,381.865,523
470.562,378.891,524
467.472,373.937,525
466.775,372.26,526
453.435,372.238,527
446.702,378.969,528
446.197,390.026,529
442.252,388.281,530
441.702,388.529,531
442.287,388.015,532
433.462,390.814,533
443.973,388.541,534
448.892,380.889,535
453.185,380.475,536
466.207,377.667,537
476.654,373.369,538
479.884,371.783,539
480.338,370.945,540
483.169,368.584,541
500.566,371.538,542
500.566,372.4,543
482.228,366.825,544
477.867,366.099,545
475.824,366.015,546
471.732,365.527,547
452.664,354.029,548
446.802,360.494,549
442.432,361.623,550
438.613,367.114,551
430.007,369.92,552
430.366,372.901,553
437.572,374.835,554
439.787,375.795,555
441.763,373.301,556
445.829,352.978,557
433.045,356.625,558
423.073,356.199,559
417.012,350.994,560
413.307,349.178,561
409.545,342.39,562
411.988,338.147,563
407.739,340.083,564
406.877,345.276,565
412.814,352.593,566
426.826,358.326,567
430.372,370.425,568
431.814,373.83,569
433.118,378.425,570
433.879,379.395,571
436.109,381.307,572
433.984,381.237,573
432.445,363.934,574
